track_id,gravity_x_values,gravity_y_values,frame,modify_id,new_gravity_x,new_gravity_y
1,768,704,08_1.jpg,2,829.44,760.32
1,768,704,08_2.jpg,2,829.44,760.32
1,768,704,08_3.jpg,2,829.44,760.32
1,770,705,08_4.jpg,2,831.6,761.4000000000001
1,770,705,08_5.jpg,2,831.6,761.4000000000001
1,769,704,08_6.jpg,2,830.5200000000001,760.32
1,768,705,08_7.jpg,2,829.44,761.4000000000001
1,768,705,08_8.jpg,2,829.44,761.4000000000001
1,771,705,08_9.jpg,2,832.6800000000001,761.4000000000001
1,769,705,08_10.jpg,2,830.5200000000001,761.4000000000001
1,768,705,08_11.jpg,2,829.44,761.4000000000001
1,769,705,08_12.jpg,2,830.5200000000001,761.4000000000001
1,771,705,08_13.jpg,2,832.6800000000001,761.4000000000001
1,771,705,08_14.jpg,2,832.6800000000001,761.4000000000001
1,771,704,08_15.jpg,2,832.6800000000001,760.32
1,771,704,08_16.jpg,2,832.6800000000001,760.32
1,770,704,08_17.jpg,2,831.6,760.32
1,771,704,08_18.jpg,2,832.6800000000001,760.32
1,770,704,08_19.jpg,2,831.6,760.32
1,770,704,08_20.jpg,2,831.6,760.32
1,770,705,08_21.jpg,2,831.6,761.4000000000001
1,770,705,08_22.jpg,2,831.6,761.4000000000001
1,772,704,08_23.jpg,2,833.7600000000001,760.32
1,771,704,08_24.jpg,2,832.6800000000001,760.32
1,771,704,08_25.jpg,2,832.6800000000001,760.32
1,770,704,08_26.jpg,2,831.6,760.32
1,771,705,08_27.jpg,2,832.6800000000001,761.4000000000001
1,770,704,08_28.jpg,2,831.6,760.32
1,770,705,08_29.jpg,2,831.6,761.4000000000001
1,770,705,08_30.jpg,2,831.6,761.4000000000001
1,767,706,08_31.jpg,2,828.36,762.48
1,765,706,08_32.jpg,2,826.2,762.48
1,759,709,08_33.jpg,2,819.72,765.72
1,758,709,08_34.jpg,2,818.6400000000001,765.72
1,758,709,08_35.jpg,2,818.6400000000001,765.72
1,759,709,08_36.jpg,2,819.72,765.72
1,759,710,08_37.jpg,2,819.72,766.8000000000001
1,763,709,08_38.jpg,2,824.0400000000001,765.72
1,768,709,08_39.jpg,2,829.44,765.72
1,770,708,08_40.jpg,2,831.6,764.6400000000001
1,770,709,08_41.jpg,2,831.6,765.72
1,770,708,08_42.jpg,2,831.6,764.6400000000001
1,769,709,08_43.jpg,2,830.5200000000001,765.72
1,769,708,08_44.jpg,2,830.5200000000001,764.6400000000001
1,769,709,08_45.jpg,2,830.5200000000001,765.72
1,769,709,08_46.jpg,2,830.5200000000001,765.72
1,769,709,08_47.jpg,2,830.5200000000001,765.72
1,769,709,08_48.jpg,2,830.5200000000001,765.72
1,769,709,08_49.jpg,2,830.5200000000001,765.72
